geneid	cell_type	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SRGAP2	CD8 T Naive	5.739247346014269e-20	-1.5486376956248329	0.015	0.049	1.1174888507424384e-15
RPS5	CD8 T Naive	1.5431000853887125e-19	-0.2027488832883102	0.85	0.883	3.004570176260362e-15
RPL35A	CD8 T Naive	1.5701764996276468e-19	-0.18919293341579158	0.866	0.901	3.057290662424991e-15
ADAMTS17	CD8 T Naive	1.6053488191762307e-19	1.0594639003056452	0.122	0.063	3.1257746858180388e-15
LAIR1	CD8 T Naive	1.961563747871668e-19	-0.9983310570808479	0.064	0.121	3.819360773480925e-15
FAU	CD8 T Naive	2.056014738641448e-19	-0.19100535758384263	0.861	0.906	4.003266297608764e-15
COX2	CD8 T Naive	2.851765469976473e-19	0.20925565844908078	1	0.998	5.552672546591191e-15
KCNQ5	CD8 T Naive	4.099035873031071e-19	0.2697047537836479	0.85	0.802	7.981232748378798e-15
RPL37	CD8 T Naive	4.963323245163245e-19	-0.19262405291076412	0.923	0.947	9.664086690657356e-15
RPL13A	CD8 T Naive	5.262472528483052e-19	-0.18892188607162197	0.94	0.954	1.024656026020935e-14
ENSMMUG00000050016	CD8 T Naive	7.233966485531887e-19	3.7587580583693847	0.028	0.003	1.4085256143979138e-14
RPL10A	CD8 T Naive	3.1844716975132855e-18	-0.18338237412993674	0.873	0.912	6.200484842228118e-14
STAT4	CD8 T Naive	4.360935241469781e-18	-0.31875168772468676	0.495	0.588	8.491177008665811e-14
RPL23	CD8 T Naive	4.899102099401674e-18	-0.16889077492865656	0.919	0.939	9.539041697744999e-14
USP36	CD8 T Naive	5.18105460432093e-18	-0.5529828958767593	0.228	0.312	1.0088031420073283e-13
ENSMMUG00000058216	CD8 T Naive	6.274969252688563e-18	0.9090968515652327	0.135	0.076	1.22179926319099e-13
INPP4B	CD8 T Naive	7.367167423067702e-18	0.33555923055291315	0.574	0.489	1.4344611689455123e-13
DOK6	CD8 T Naive	8.303608070617275e-18	-2.4166457887713633	0.009	0.036	1.6167955274298896e-13
TOMM7	CD8 T Naive	1.4646432514062727e-17	-0.2531406498704949	0.622	0.699	2.851806874813154e-13
PTPRJ	CD8 T Naive	1.9764179104004606e-17	0.43972699310384655	0.276	0.192	3.8482833133407367e-13
MYO1D	CD8 T Naive	2.0741614057415263e-17	0.9261430592435709	0.144	0.084	4.0385996731193256e-13
ELOA	CD8 T Naive	4.5033302445205585e-17	-0.19641526364497164	0.872	0.893	8.768434319105979e-13
DENND4A	CD8 T Naive	5.161558930647424e-17	-0.43296433940471823	0.458	0.536	1.0050071393863599e-12
DUSP1	CD8 T Naive	6.242320489705176e-17	-0.4827373848192872	0.268	0.352	1.2154422225504946e-12
CFAP70	CD8 T Naive	3.9453873461212107e-16	2.0348011541983486	0.043	0.013	7.682063701632609e-12
ACTB	CD8 T Naive	5.7345708652479e-16	0.19219305022678324	0.959	0.949	1.1165782931724187e-11
ENSMMUG00000028672	CD8 T Naive	6.345759678279232e-16	-4.962006050768322	0	0.015	1.2355828669577492e-11
ADAMTS16	CD8 T Naive	9.578470884362291e-16	-6.173674589874164	0	0.014	1.8650240658941816e-11
RPS14	CD8 T Naive	1.0115923996730567e-15	-0.15528951780740297	0.943	0.951	1.9696715614034086e-11
RPL19	CD8 T Naive	1.1214420223567641e-15	-0.21346724868372968	0.864	0.901	2.1835597617308555e-11
TC2N	CD8 T Naive	1.348530738347318e-15	-0.537940147088997	0.117	0.181	2.6257242006360627e-11
PPIL4	CD8 T Naive	1.786204826726551e-15	-0.4834542357774073	0.29	0.364	3.4779194181192674e-11
JMY	CD8 T Naive	3.1658187981599674e-15	-0.41961444892824984	0.316	0.399	6.164165781897272e-11
TOB1	CD8 T Naive	3.741148035124429e-15	-0.6068864644089182	0.143	0.208	7.284389339190775e-11
SSBP2	CD8 T Naive	4.037181288116453e-15	0.3317919859428673	0.595	0.528	7.860795686091545e-11
ENSMMUG00000003412	CD8 T Naive	4.482041946263545e-15	-0.1793563170518615	0.885	0.92	8.726983873569748e-11
DYNLRB2	CD8 T Naive	5.991740560568627e-15	-1.1477917701071578	0.033	0.071	1.1666518045483173e-10
COL14A1	CD8 T Naive	6.413287031051834e-15	4.925943401525959	0.019	0.001	1.2487311178161027e-10
SLC22A23	CD8 T Naive	8.216119065830597e-15	0.6744487651710832	0.193	0.132	1.5997605433078755e-10
SMYD3	CD8 T Naive	9.709582730853683e-15	-0.25456770322067657	0.589	0.663	1.8905528535245207e-10
ENSMMUG00000002917	CD8 T Naive	1.2589212122926137e-14	1.0806855513836058	0.089	0.046	2.4512454924549484e-10
CD96	CD8 T Naive	1.565335065305545e-14	0.37002872394907826	0.471	0.396	3.047863905656427e-10
TMEM123	CD8 T Naive	1.6577333683376067e-14	0.3005022878996433	0.537	0.464	3.227772641490154e-10
MX1	CD8 T Naive	2.1061913287837737e-14	1.879458952908434	0.041	0.013	4.1009651362748857e-10
TOX	CD8 T Naive	2.817473188968567e-14	0.26148089753415027	0.722	0.668	5.485902046240697e-10
FAM160A1	CD8 T Naive	5.739202189939802e-14	-1.757332239581868	0.01	0.034	1.1174800584031787e-9
MED13L	CD8 T Naive	6.291752556066995e-14	0.2409603673803309	0.778	0.733	1.2250671401918046e-9
TSC22D3	CD8 T Naive	7.306333847466919e-14	-0.34902786302292466	0.422	0.499	1.4226162634402838e-09
IGHM	CD8 T Naive	8.592744338418233e-14	0.9915227788757262	0.164	0.109	1.6730932501334142e-9
RPL8	CD8 T Naive	1.0006509074221996e-13	-0.15590107886721194	0.885	0.912	1.948367381841765e-9
IRS2	CD8 T Naive	1.0255682471551544e-13	-1.1056897088552557	0.038	0.074	1.996883934035801e-9
RPS4X	CD8 T Naive	1.1582853100901527e-13	-0.17171025432877451	0.821	0.862	2.255297327276536e-9
RPL15	CD8 T Naive	1.6260979340614682e-13	-0.21577636776230102	0.672	0.727	3.166175287411085e-9
ATM	CD8 T Naive	1.8227551165756753e-13	0.25484051020659315	0.68	0.641	3.5490864874844975e-9
GPHN	CD8 T Naive	1.8356606331319538e-13	0.18944349063685229	0.812	0.767	3.574214818771227e-9
ENSMMUG00000064120	CD8 T Naive	2.347893507010339e-13	0.5187476791985761	0.216	0.153	4.571583447499831e-9
RPS21	CD8 T Naive	2.370573005322227e-13	-0.1974815145974409	0.821	0.863	4.615742698662908e-9
RPL18	CD8 T Naive	2.6098857195317287e-13	-0.14974962904209388	0.923	0.936	5.081708484500229e-9
IKZF2	CD8 T Naive	3.009826478707127e-13	0.4914242918633942	0.242	0.175	5.860433136690647e-9
ARHGAP15	CD8 T Naive	3.160335910117036e-13	0.12045805593379733	0.988	0.983	6.153490050588881e-9
TBL1X	CD8 T Naive	3.5118592863870255e-13	-0.3488881711260128	0.275	0.354	6.837941216524178e-9
ERN1	CD8 T Naive	4.3538418669955337e-13	-0.6032660529204814	0.112	0.166	8.477365499227004e-9
TTC7B	CD8 T Naive	4.437619673073103e-13	-1.7335527224859244	0.013	0.038	8.64048926544064e-9
ENSMMUG00000063316	CD8 T Naive	4.89626693695005e-13	0.27434272998500697	0.469	0.389	9.533521352935442e-9
PRKN	CD8 T Naive	6.273731775719101e-13	0.5866236935831031	0.236	0.173	1.2215583140502662e-8
ISG15	CD8 T Naive	6.844532107550602e-13	1.7002210002242295	0.036	0.011	1.3326988466611777e-8
ZFP36	CD8 T Naive	7.108747982692953e-13	-0.35078635322488605	0.309	0.384	1.384144319710145e-8
PREX2	CD8 T Naive	1.0745576695268394e-12	1.3260789364137453	0.068	0.033	2.092271238335709e-8
ENSMMUG00000056718	CD8 T Naive	1.1329943865830112e-12	7.859153476772699	0.014	0	2.206053370115781e-8
TBC1D5	CD8 T Naive	1.2883606563990031e-12	0.18055275637685897	0.895	0.873	2.508567034074499e-8
TMEM156	CD8 T Naive	1.6376825998205301e-12	0.4737870913774776	0.251	0.187	3.1887317901105543e-8
PPP1R15A	CD8 T Naive	1.6992904707414472e-12	-0.5377300434623028	0.147	0.205	3.308688475580672e-8
RPL7A	CD8 T Naive	2.4889856009471502e-12	-0.1819693781735956	0.754	0.806	4.8463038636041964e-8
UBE2E2	CD8 T Naive	2.8024859863092067e-12	0.32676038978883426	0.481	0.414	5.456720463942656e-8
CNN3	CD8 T Naive	3.2323128310745046e-12	-0.806856864898867	0.076	0.121	6.293636313385168e-8
ITGA6	CD8 T Naive	4.132055166998547e-12	-0.2604308151596424	0.596	0.653	8.045524615662871e-8
TMSB10	CD8 T Naive	4.776024399482554e-12	-0.22848770160496468	0.715	0.763	9.299397108232482e-8
RPL27	CD8 T Naive	5.959636070476505e-12	-0.19593423868248783	0.757	0.805	1.1604007392824803e-7
KLF6	CD8 T Naive	7.766651758049526e-12	-0.3706093393029457	0.362	0.43	1.5122447638098233e-7
RGCC	CD8 T Naive	1.2208273746791968e-11	-0.3771288615287386	0.3	0.369	2.3770729812378642e-7
MAP3K1	CD8 T Naive	1.294782146700036e-11	0.3859181234382505	0.363	0.299	2.52107031783964e-7
DGKD	CD8 T Naive	1.3066520323665603e-11	0.41075710854306036	0.357	0.296	2.5441821722209295e-7
TANC1	CD8 T Naive	1.3713006545044685e-11	0.7401788260837854	0.133	0.087	2.6700595043856505e-7
ABHD6	CD8 T Naive	1.683693495026718e-11	-0.586223199568334	0.1	0.149	3.2783196041665223e-7
PTCH1	CD8 T Naive	2.2818685264320888e-11	-1.1381043500266346	0.027	0.056	4.4430262078159203e-7
ENSMMUG00000059924	CD8 T Naive	2.4157796382416232e-11	1.0266561663367217	0.08	0.044	4.7037645336202644e-7
ENSMMUG00000018240	CD8 T Naive	2.5293998914427127e-11	-0.1811438407998569	0.862	0.891	4.924994528628106e-7
DIP2B	CD8 T Naive	3.133395185876157e-11	0.2464397878442237	0.655	0.601	6.101033766419465e-7
MFSD1	CD8 T Naive	5.5296451007544435e-11	-0.8182510949002064	0.054	0.091	1.0766771975678977e-6
RPL22L1	CD8 T Naive	8.026368989680657e-11	-0.318458262434519	0.284	0.352	1.5628143059807208e-6
PTPRC	CD8 T Naive	8.416382393935362e-11	0.11462737159680447	0.975	0.972	1.6387538159231543e-6
JAZF1	CD8 T Naive	8.436408657672439e-11	-0.3827854071750497	0.247	0.312	1.6426531297354004e-6
ND4L	CD8 T Naive	1.76442490777651e-10	0.22576457548440731	0.479	0.41	3.4355117379316423e-6
EIF3G	CD8 T Naive	1.7690370259237607e-10	-0.41983628099355463	0.172	0.227	3.4444919931761544e-06
ENSMMUG00000062648	CD8 T Naive	1.9168430099170622e-10	-0.31892269262579187	0.238	0.301	3.732285024609512e-6
ENSMMUG00000016894	CD8 T Naive	2.1472731460713881e-10	-0.3002986693114609	0.356	0.426	4.1809555427156e-6
ATP11B	CD8 T Naive	2.263267468458184e-10	-0.2922043676990538	0.348	0.418	4.40680808783493e-6
NUDT3	CD8 T Naive	3.025045372165121e-10	-0.12221002305426065	0.93	0.941	5.890065844142707e-6
MRPL54	CD8 T Naive	3.4492692403831824e-10	-0.8570912447514907	0.041	0.073	6.716072137950094e-6
TRIO	CD8 T Naive	3.8259118475008824e-10	-0.3759974341168078	0.178	0.235	7.449432958268968e-6
SFMBT2	CD8 T Naive	3.899909269922508e-10	0.2750544796446732	0.551	0.499	7.593513339466115e-6
ENSMMUG00000028699	CD8 T Naive	6.046831965225691e-10	-0.35407133370265487	0.282	0.343	1.1773786519490943e-5
EDEM3	CD8 T Naive	7.011155640929499e-10	0.37030972279259455	0.295	0.235	1.3651421148453827e-5
ADAMTS6	CD8 T Naive	7.599055501957899e-10	0.30861559129973015	0.364	0.302	1.4796120967862225e-5
GPR183	CD8 T Naive	9.622912936223022e-10	-0.43506997405600184	0.105	0.15	1.8736773778119847e-5
TGFBR1	CD8 T Naive	1.057699913037986e-9	0.43119363337311933	0.294	0.239	2.0594475006762625e-5
MGAT5	CD8 T Naive	1.1786468077362754e-9	-0.2787144787761604	0.408	0.471	2.294943199343302e-5
LRP5	CD8 T Naive	1.2691106810039594e-09	-0.8746966896046364	0.044	0.075	2.4710854069828093e-5
RIPOR2	CD8 T Naive	1.520065568523596e-9	0.10916170122165525	0.974	0.973	2.9597196684722936e-5
YPEL5	CD8 T Naive	1.5972282717479561e-9	-0.2801135258086598	0.472	0.529	3.1099631679204456e-5
INSIG1	CD8 T Naive	1.7375796665820799e-9	-0.7378151921773979	0.042	0.073	3.3832413688019676e-5
ST7	CD8 T Naive	1.7455289470951499e-9	-0.9719146298208996	0.031	0.058	3.3987194128889665e-5
NUP58	CD8 T Naive	1.7550880895704517e-9	0.6130274803988479	0.15	0.106	3.417332019202627e-5
ENSMMUG00000051227	CD8 T Naive	1.8535894046484414e-9	-1.4817161719557999	0.014	0.033	3.60912392979098e-5
TNFAIP3	CD8 T Naive	1.8781267538097203e-9	-0.3305147775692141	0.321	0.384	3.6569006023429065e-5
ZNF638	CD8 T Naive	2.0372836380438075e-9	0.2162576908230558	0.594	0.54	3.966794971635098e-5
ND3	CD8 T Naive	2.053084453105337e-9	0.13377774090416006	0.819	0.755	3.9975607386414015e-5
SYTL2	CD8 T Naive	2.0861732629676917e-9	0.4746991463554828	0.213	0.161	4.0619879603243925e-5
LHFPL6	CD8 T Naive	2.160615172352194e-9	-0.9675948559739923	0.034	0.062	4.206933802086957e-5
FBXO33	CD8 T Naive	2.424360508683575e-9	-0.33137353298077954	0.283	0.343	4.720472346457789e-5
CD38	CD8 T Naive	2.8731799523164674e-9	0.3171905585167474	0.419	0.362	5.5943686851553934e-5
N6AMT1	CD8 T Naive	3.1624981912866623e-9	-0.5049641144962996	0.147	0.195	6.15770022825426e-5
FHL1	CD8 T Naive	3.2350561104941565e-9	1.5578784586148289	0.026	0.009	6.298977752743172e-5
SUPT3H	CD8 T Naive	3.913469213145905e-9	0.24651796109880308	0.512	0.456	7.619915904916391e-5
YIPF5	CD8 T Naive	3.943665408540993e-9	-0.4466874225815706	0.145	0.195	7.678710916970168e-5
NHSL1	CD8 T Naive	4.163730779335641e-9	0.6995108681167597	0.094	0.059	8.107200200444426e-5
HACE1	CD8 T Naive	4.245991611032143e-9	0.4260276701291633	0.24	0.188	8.267370265840685e-5
LPP	CD8 T Naive	4.749046932136092e-9	0.3440915535961808	0.346	0.29	9.246869281562184e-5
LRRC8C	CD8 T Naive	4.894499960193323e-9	0.3901039505121995	0.36	0.305	9.53008087249242e-5
ANXA1	CD8 T Naive	5.1918136113156095e-9	-0.4973688294980362	0.102	0.144	1.0108980282592623e-4
PTPRM	CD8 T Naive	5.493645127401506e-9	-0.9232903874636984	0.031	0.058	1.0696676427563473e-4
ARHGAP10	CD8 T Naive	5.551873251763844e-9	1.2596427335097349	0.049	0.024	1.0810052408509382e-4
RBMS1	CD8 T Naive	5.644853161694909e-9	0.23867415847383233	0.555	0.502	1.0991093591136158e-4
GLCCI1	CD8 T Naive	5.754422793430237e-9	0.3380361141123869	0.354	0.298	1.1204436621088014e-4
NSUN6	CD8 T Naive	5.953863871169887e-9	1.4333681612687856	0.034	0.014	1.1592768343554888e-4
PCNX2	CD8 T Naive	5.971212716741862e-9	-0.2997050876708711	0.292	0.353	1.162654828076808e-4
ARHGAP24	CD8 T Naive	6.77105366929552e-9	2.67014653115674	0.035	0.014	1.3183918599485306e-4
ND2	CD8 T Naive	6.771089610055244e-9	0.10641623717623538	0.994	0.992	1.3183988579738566e-4
OTOG	CD8 T Naive	7.353101487519287e-9	0.8393933250704879	0.057	0.03	1.4317223906348803e-4
RPL35	CD8 T Naive	7.425178073321966e-9	-0.205059943816424	0.59	0.64	1.44575642265652e-4
ENSMMUG00000063452	CD8 T Naive	7.954334912066018e-9	0.5344910652821843	0.182	0.137	1.5487885507283744e-4
SLC25A6	CD8 T Naive	8.349053890228988e-9	-0.8107697315840987	0.03	0.056	1.6256442829664863e-4
SORBS2	CD8 T Naive	1.1089020917423558e-8	2.966070973542808	0.014	0.002	2.159143262831541e-4
MAMU-DRA	CD8 T Naive	1.1662198798207082e-8	0.5615559012224256	0.201	0.154	2.270746727998901e-4
ANTXR2	CD8 T Naive	1.2191575079127834e-8	0.36596882728450936	0.21	0.161	2.3738215836569806e-4
GABARAPL1	CD8 T Naive	1.4336706056243966e-8	-0.6352488825314324	0.074	0.109	2.791500036211263e-4
CPQ	CD8 T Naive	1.4943553479845165e-8	-0.41208986178112644	0.143	0.189	2.909659298060652e-4
RPS13	CD8 T Naive	1.538996143650547e-8	-0.11143764969189096	0.881	0.902	2.99657939130198e-4
ENSMMUG00000004441	CD8 T Naive	1.5784951223299404e-8	-0.41168093119636195	0.091	0.13	3.073487852688627e-4
PICALM	CD8 T Naive	1.7430246298584167e-8	0.21318668195016288	0.609	0.563	3.393843256797323e-4
RACK1	CD8 T Naive	2.0138067414636894e-8	-0.15345816186375538	0.767	0.81	3.9210831063039495e-4
ENSMMUG00000054390	CD8 T Naive	2.5831520314893192e-8	-0.6575820739565643	0.075	0.11	5.029655320512854e-4
RABGAP1L	CD8 T Naive	2.6575904658932137e-8	0.15478683071437338	0.847	0.822	5.174594396140676e-4
PDE4D	CD8 T Naive	2.6764111383030674e-8	-0.30562858386794056	0.105	0.147	5.211240127389903e-4
BTF3	CD8 T Naive	2.7345415641383205e-8	-0.22788918354068632	0.324	0.385	5.324425879533723e-4
BTG2	CD8 T Naive	2.840674108833057e-8	-0.4818078731340527	0.142	0.186	5.531076557308845e-4
IL6R	CD8 T Naive	2.987480713659433e-8	-0.46843099262191357	0.08	0.117	5.816923697566282e-4
ENSMMUG00000060527	CD8 T Naive	3.026188244898794e-8	0.8001140215395233	0.068	0.04	5.892291131642442e-4
